% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770991814.0869 0.105 -0.024 -0.3838 3.0280
1770991814.0912 0.105 -0.024 -0.3838 3.0276
1770991814.0968 0.105 -0.024 -0.3838 3.0270
1770991814.1011 0.105 -0.024 -0.3838 3.0267
1770991814.1065 0.105 -0.024 -0.3838 3.0261
1770991814.1120 0.105 -0.024 -0.3838 3.0257
1770991814.1163 0.105 -0.024 -0.3838 3.0251
1770991814.1219 0.105 -0.024 -0.3838 3.0247
1770991814.1262 0.105 -0.024 -0.3838 3.0241
1770991814.1317 0.105 -0.024 -0.3838 3.0237
1770991814.1360 0.105 -0.024 -0.3838 3.0231
1770991814.1414 0.105 -0.024 -0.3838 3.0227
1770991814.1469 0.105 -0.024 -0.3838 3.0221
1770991814.1513 0.105 -0.024 -0.3838 3.0218
1770991814.1568 0.105 -0.024 -0.3838 3.0213
1770991814.1611 0.105 -0.024 -0.3838 3.0209
1770991814.1665 0.105 -0.024 -0.3838 3.0204
1770991814.1721 0.105 -0.024 -0.3838 3.0200
1770991814.1764 0.105 -0.024 -0.3838 3.0195
1770991814.1819 0.105 -0.024 -0.3838 3.0192
1770991814.1863 0.105 -0.024 -0.3838 3.0188
1770991814.1917 0.105 -0.024 -0.3838 3.0185
1770991814.1961 0.105 -0.024 -0.3838 3.0182
1770991814.2015 0.105 -0.024 -0.3838 3.0179
1770991814.2070 0.105 -0.024 -0.3838 3.0176
1770991814.2114 0.105 -0.024 -0.3838 3.0174
1770991814.2169 0.105 -0.024 -0.3838 3.0171
1770991814.2213 0.105 -0.024 -0.3838 3.0169
1770991814.2267 0.105 -0.024 -0.3838 3.0166
1770991814.2314 0.105 -0.024 -0.3838 3.0164
1770991814.2367 0.105 -0.024 -0.3838 3.0161
1770991814.2413 0.105 -0.024 -0.3838 3.0159
1770991814.2467 0.105 -0.024 -0.3838 3.0157
1770991814.2513 0.105 -0.024 -0.3838 3.0155
1770991814.2568 0.105 -0.024 -0.3838 3.0153
1770991814.2611 0.105 -0.024 -0.3838 3.0152
1770991814.2667 0.000 0.000 0.0000 3.0150
1770991814.2711 0.000 0.000 0.0000 3.0149
1770991814.2766 0.000 0.000 0.0000 3.0147
1770991814.2820 0.000 0.000 0.0000 3.0146
1770991814.2864 0.000 0.000 0.0000 3.0144
1770991814.2918 0.000 0.000 0.0000 3.0143
1770991814.2962 0.000 0.000 0.0000 3.0141
1770991814.3017 0.000 0.000 0.0000 3.0140
1770991814.3062 0.000 0.000 0.0000 3.0137
1770991814.3118 0.000 0.000 0.0000 3.0136
1770991814.3163 0.000 0.000 0.0000 3.0133
1770991814.3218 0.000 0.000 0.0000 3.0131
1770991814.3262 0.000 0.000 0.0000 3.0128
1770991814.3315 0.000 0.000 0.0000 3.0126
1770991814.3370 0.000 0.000 0.0000 3.0123
1770991814.3413 0.000 0.000 0.0000 3.0121
1770991814.3467 0.000 0.000 0.0000 3.0118
1770991814.3513 0.000 0.000 0.0000 3.0116
1770991814.3566 0.000 0.000 0.0000 3.0113
1770991814.3621 0.000 0.000 0.0000 3.0111
1770991814.3665 0.000 0.000 0.0000 3.0107
1770991814.3719 0.000 0.000 0.0000 3.0105
1770991814.3763 0.000 0.000 0.0000 3.0102
1770991814.3817 0.000 0.000 0.0000 3.0100
1770991814.3862 0.000 0.000 0.0000 3.0097
1770991814.3916 0.000 0.000 0.0000 3.0095
1770991814.3971 0.000 0.000 0.0000 3.0093
1770991814.4018 0.000 0.000 0.0000 3.0092
1770991814.4072 0.000 0.000 0.0000 3.0091
1770991814.4117 0.000 0.000 0.0000 3.0090
1770991814.4162 0.000 0.000 0.0000 3.0090
