% mqtt logfile, enabled=true
% broker=tcp://localhost:1883
% context=drive
% client id=tif_cmd
% system=robobot/ (top level ID)
% function=cmd/ (next level name)
% 1 	Time (sec)
% 2 	Quality of service 0=max once, 1=at least once, 2=once, S=subscribe
% 3 	'Topic'
% 4 	Message / payload
1772540125.5846 0 drive robobot/cmd/ti log 1
1772540126.0854 0 drive robobot/cmd/ti alive 2026-03-03 13:15:25.568770
1772540126.1205 0 'robobot/teensy_interface/alive' 1772540126.1205 2026-03-03 13:15:26.120
1772540128.1289 0 'robobot/teensy_interface/alive' 1772540128.1288 2026-03-03 13:15:28.128
1772540129.0714 0 drive robobot/cmd/T0 lip 1
1772540129.1141 0 drive robobot/cmd/T0 sub livn 10
1772540130.1368 0 'robobot/teensy_interface/alive' 1772540130.1368 2026-03-03 13:15:30.136
1772540132.1448 0 'robobot/teensy_interface/alive' 1772540132.1447 2026-03-03 13:15:32.144
1772540134.1527 0 'robobot/teensy_interface/alive' 1772540134.1527 2026-03-03 13:15:34.152
1772540136.1607 0 'robobot/teensy_interface/alive' 1772540136.1606 2026-03-03 13:15:36.160
1772540138.1686 0 'robobot/teensy_interface/alive' 1772540138.1685 2026-03-03 13:15:38.168
1772540140.1765 0 'robobot/teensy_interface/alive' 1772540140.1764 2026-03-03 13:15:40.176
1772540142.1843 0 'robobot/teensy_interface/alive' 1772540142.1842 2026-03-03 13:15:42.184
1772540144.1923 0 'robobot/teensy_interface/alive' 1772540144.1922 2026-03-03 13:15:44.192
1772540146.2001 0 'robobot/teensy_interface/alive' 1772540146.2001 2026-03-03 13:15:46.200
1772540148.2081 0 'robobot/teensy_interface/alive' 1772540148.2080 2026-03-03 13:15:48.208
1772540150.2159 0 'robobot/teensy_interface/alive' 1772540150.2158 2026-03-03 13:15:50.215
1772540152.2237 0 'robobot/teensy_interface/alive' 1772540152.2236 2026-03-03 13:15:52.223
1772540154.2315 0 'robobot/teensy_interface/alive' 1772540154.2314 2026-03-03 13:15:54.231
1772540156.2394 0 'robobot/teensy_interface/alive' 1772540156.2393 2026-03-03 13:15:56.239
1772540158.2473 0 'robobot/teensy_interface/alive' 1772540158.2473 2026-03-03 13:15:58.247
1772540160.2552 0 'robobot/teensy_interface/alive' 1772540160.2551 2026-03-03 13:16:00.255
1772540162.2633 0 'robobot/teensy_interface/alive' 1772540162.2632 2026-03-03 13:16:02.263
1772540164.2716 0 'robobot/teensy_interface/alive' 1772540164.2716 2026-03-03 13:16:04.271
1772540166.2795 0 'robobot/teensy_interface/alive' 1772540166.2794 2026-03-03 13:16:06.279
1772540168.2874 0 'robobot/teensy_interface/alive' 1772540168.2873 2026-03-03 13:16:08.287
1772540170.2956 0 'robobot/teensy_interface/alive' 1772540170.2955 2026-03-03 13:16:10.295
1772540172.3035 0 'robobot/teensy_interface/alive' 1772540172.3034 2026-03-03 13:16:12.303
1772540174.3113 0 'robobot/teensy_interface/alive' 1772540174.3112 2026-03-03 13:16:14.311
1772540176.3191 0 'robobot/teensy_interface/alive' 1772540176.3190 2026-03-03 13:16:16.319
1772540178.3270 0 'robobot/teensy_interface/alive' 1772540178.3269 2026-03-03 13:16:18.326
1772540180.3347 0 'robobot/teensy_interface/alive' 1772540180.3346 2026-03-03 13:16:20.334
1772540182.3425 0 'robobot/teensy_interface/alive' 1772540182.3424 2026-03-03 13:16:22.342
1772540184.3503 0 'robobot/teensy_interface/alive' 1772540184.3502 2026-03-03 13:16:24.350
1772540186.3584 0 'robobot/teensy_interface/alive' 1772540186.3583 2026-03-03 13:16:26.358
1772540188.3664 0 'robobot/teensy_interface/alive' 1772540188.3663 2026-03-03 13:16:28.366
1772540190.3744 0 'robobot/teensy_interface/alive' 1772540190.3744 2026-03-03 13:16:30.374
1772540192.3824 0 'robobot/teensy_interface/alive' 1772540192.3823 2026-03-03 13:16:32.382
1772540194.3903 0 'robobot/teensy_interface/alive' 1772540194.3903 2026-03-03 13:16:34.390
1772540196.3981 0 'robobot/teensy_interface/alive' 1772540196.3981 2026-03-03 13:16:36.398
1772540198.4061 0 'robobot/teensy_interface/alive' 1772540198.4060 2026-03-03 13:16:38.406
1772540200.4141 0 'robobot/teensy_interface/alive' 1772540200.4140 2026-03-03 13:16:40.414
1772540202.4222 0 'robobot/teensy_interface/alive' 1772540202.4221 2026-03-03 13:16:42.422
1772540204.4302 0 'robobot/teensy_interface/alive' 1772540204.4301 2026-03-03 13:16:44.430
1772540206.4382 0 'robobot/teensy_interface/alive' 1772540206.4381 2026-03-03 13:16:46.438
1772540208.4462 0 'robobot/teensy_interface/alive' 1772540208.4461 2026-03-03 13:16:48.446
1772540210.4541 0 'robobot/teensy_interface/alive' 1772540210.4540 2026-03-03 13:16:50.454
1772540212.4620 0 'robobot/teensy_interface/alive' 1772540212.4620 2026-03-03 13:16:52.462
1772540214.4699 0 'robobot/teensy_interface/alive' 1772540214.4698 2026-03-03 13:16:54.469
1772540216.4778 0 'robobot/teensy_interface/alive' 1772540216.4777 2026-03-03 13:16:56.477
1772540218.4857 0 'robobot/teensy_interface/alive' 1772540218.4856 2026-03-03 13:16:58.485
1772540220.4936 0 'robobot/teensy_interface/alive' 1772540220.4935 2026-03-03 13:17:00.493
1772540222.5014 0 'robobot/teensy_interface/alive' 1772540222.5013 2026-03-03 13:17:02.501
1772540224.5090 0 'robobot/teensy_interface/alive' 1772540224.5089 2026-03-03 13:17:04.508
1772540226.5170 0 'robobot/teensy_interface/alive' 1772540226.5169 2026-03-03 13:17:06.516
1772540228.5250 0 'robobot/teensy_interface/alive' 1772540228.5249 2026-03-03 13:17:08.524
1772540230.5328 0 'robobot/teensy_interface/alive' 1772540230.5327 2026-03-03 13:17:10.532
1772540232.5406 0 'robobot/teensy_interface/alive' 1772540232.5405 2026-03-03 13:17:12.540
1772540234.5486 0 'robobot/teensy_interface/alive' 1772540234.5485 2026-03-03 13:17:14.548
1772540236.5567 0 'robobot/teensy_interface/alive' 1772540236.5566 2026-03-03 13:17:16.556
1772540238.5648 0 'robobot/teensy_interface/alive' 1772540238.5647 2026-03-03 13:17:18.564
1772540240.5728 0 'robobot/teensy_interface/alive' 1772540240.5727 2026-03-03 13:17:20.572
1772540242.5808 0 'robobot/teensy_interface/alive' 1772540242.5807 2026-03-03 13:17:22.580
1772540244.5888 0 'robobot/teensy_interface/alive' 1772540244.5887 2026-03-03 13:17:24.588
1772540246.5967 0 'robobot/teensy_interface/alive' 1772540246.5966 2026-03-03 13:17:26.596
1772540248.6047 0 'robobot/teensy_interface/alive' 1772540248.6046 2026-03-03 13:17:28.604
1772540250.6126 0 'robobot/teensy_interface/alive' 1772540250.6125 2026-03-03 13:17:30.612
1772540252.6205 0 'robobot/teensy_interface/alive' 1772540252.6204 2026-03-03 13:17:32.620
1772540254.6285 0 'robobot/teensy_interface/alive' 1772540254.6285 2026-03-03 13:17:34.628
1772540256.6365 0 'robobot/teensy_interface/alive' 1772540256.6364 2026-03-03 13:17:36.636
1772540258.6447 0 'robobot/teensy_interface/alive' 1772540258.6446 2026-03-03 13:17:38.644
1772540260.6525 0 'robobot/teensy_interface/alive' 1772540260.6524 2026-03-03 13:17:40.652
